,latitude,longitude,free_bikes
0,43.665269,-79.319796,16
1,43.67142,-79.445947,0
2,43.666224,-79.317693,21
3,43.653236,-79.376716,0
4,43.663722,-79.380288,8
5,43.657763,-79.389165,22
6,43.656729,-79.382736,17
7,43.664467,-79.414783,3
8,43.675492,-79.388858,10
9,43.674991,-79.396273,3
10,43.671944,-79.387778,2
11,43.662365,-79.351104,2
12,43.646144,-79.377962,25
13,43.663993,-79.358534,3
14,43.657266,-79.374756,4
15,43.6672144,-79.3452697,14
16,43.673939,-79.441159,2
17,43.657991,-79.340075,8
18,43.66745,-79.329408,19
19,43.672453,-79.338259,5
20,43.6592088,-79.3348396,14
21,43.689211,-79.35438,5
22,43.656927,-79.378497,13
23,43.658295,-79.372346,4
24,43.6940155,-79.2889842,4
25,43.6809164,-79.4229684,6
26,43.6910667,-79.39535,0
27,43.6975969,-79.39654,2
28,43.639832,-79.395954,29
29,43.667158,-79.402761,3
30,43.667333,-79.399429,2
31,43.6480008,-79.383177,4
32,43.656518,-79.389099,4
33,43.687999,-79.38906,2
34,43.6563889,-79.45166666666667,12
35,43.639179,-79.399595,11
36,43.6616667,-79.40138888888889,3
37,43.66666667,-79.45833333333334,5
38,43.657192,-79.452559,5
39,43.6576,-79.4032,10
40,43.660694,-79.379052,0
41,43.636533,-79.395854,24
42,43.659777,-79.382767,10
43,43.643667,-79.380414,8
44,43.666233,-79.373327,13
45,43.640114,-79.393249,19
46,43.653766,-79.4016759,4
47,43.6587734,-79.443054,1
48,43.6538888888889,-79.4413888888889,4
49,43.6508333333333,-79.4430555555556,3
50,43.651238,-79.43868,4
51,43.6544915,-79.422634,1
52,43.6543604,-79.4655296,2
53,43.635932,-79.465083,16
54,43.654501,-79.460053,10
55,43.634896,-79.467763,11
56,43.6314,-79.4304,22
57,43.636731,-79.444966,17
58,43.6534268,-79.4512787,0
59,43.7112153,-79.39894,0
60,43.655227,-79.39201,3
61,43.685167,-79.34962,1
62,43.6704537,-79.39014,3
63,43.6691099,-79.38551,4
64,43.641389,-79.404444,12
65,43.643834,-79.396649,4
66,43.6545174,-79.3895315,11
67,43.665846,-79.404998,4
68,43.6461,-79.3895,8
69,43.671349,-79.29451,8
70,43.667208,-79.312315,1
71,43.669328,-79.288949,13
72,43.672571,-79.289,12
73,43.638497,-79.39192,17
74,43.662771,-79.315223,10
75,43.66852,-79.363525,4
76,43.652473,-79.401456,9
77,43.643975,-79.419576,21
78,43.651318,-79.36023,9
79,43.656094,-79.381484,27
80,43.670318,-79.405181,2
81,43.676667,-79.416111,4
82,43.640634,-79.435841,22
83,43.639444,-79.423611,13
84,43.67,-79.42083333333333,2
85,43.671389,-79.416389,3
86,43.68,-79.42500000000001,1
87,43.6394444,-79.42527777777778,15
88,43.675791,-79.40698,3
89,43.675556,-79.410278,2
90,43.674444,-79.414722,0
91,43.671513,-79.408317,0
92,43.6783213,-79.35822,11
93,43.6848652,-79.356602,7
94,43.68395,-79.347046,2
95,43.690537,-79.341307,4
96,43.704461,-79.423122,0
97,43.659195,-79.329196,3
98,43.651885,-79.3649,10
99,43.682645,-79.377557,0
100,43.6475,-79.43305555555555,11
101,43.6494896,-79.393535,7
102,43.671526,-79.44874,0
103,43.6452972,-79.3827914,10
104,43.6452091,-79.3960744,12
105,43.6555556,-79.43361111111112,15
106,43.678077,-79.390328,9
107,43.645665,-79.415345,18
108,43.6493472,-79.42668,6
109,43.660207,-79.361275,13
110,43.648655,-79.367061,20
111,43.648711,-79.389728,27
112,43.6605603,-79.3437663,11
113,43.6561111,-79.36138888888888,6
114,43.652219,-79.354455,0
115,43.650279,-79.356832,4
116,43.649147,-79.395504,11
117,43.643795,-79.375413,29
118,43.662085,-79.397735,0
119,43.659575,-79.365769,6
120,43.65205,-79.362198,13
121,43.668456,-79.393899,17
122,43.639052,-79.399792,14
123,43.6448617,-79.42822,13
124,43.6409,-79.432837,17
125,43.6430555555556,-79.4275,21
126,43.660414,-79.415646,2
127,43.661975,-79.407896,3
128,43.65905,-79.422988,3
129,43.66,-79.4088888888889,0
130,43.690564,-79.326319,9
131,43.688325,-79.300463,9
132,43.65716,-79.46478,3
133,43.6772,-79.35858,0
134,43.662712,-79.379903,3
