,POI,latitude,longitude,address,city,postCode
0,Brewery,43.663372,-79.319902,"1001 Eastern Ave (Woodfield Rd), Toronto ON M4L 1A8",Toronto,M4L 1A8
1,Diner,43.665121,-79.321347,"1483 Queen St E, Toronto ON M4L 1E2",Toronto,M4L 1E2
2,Bicycle Store,43.666157,-79.317863,"1592 Queen St E, Toronto ON M4L 1G1",Toronto,M4L 1G1
3,Physician,43.66598,-79.31877,"1566 Queen St E (at Ashdale Ave.), Toronto ON M4L 1E9",Toronto,M4L 1E9
4,Park,43.662892,-79.312532,"Queen St (at Kingston Rd), Toronto ON M4L 1G7",Toronto,M4L 1G7
5,Pizzeria,43.666623,-79.316861,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Toronto,M4L 3A7
6,Coffee Shop,43.664574,-79.325048,"1374 Queen St E (at Greenwood Ave), Toronto ON M4L 1C9",Toronto,M4L 1C9
7,Diner,43.666394,-79.316918,"1606 Queen St E (Coxwell Ave), Toronto ON M4L 1G2",Toronto,M4L 1G2
8,Pizzeria,43.664745,-79.324233,"1402 Queen St E (at Greenwood Ave.), Toronto ON M4L 1C9",Toronto,M4L 1C9
9,Coffee Shop,43.669537,-79.448551,"31 Powerhouse St (Lansdowne Ave), Toronto ON M6H 0C7",Toronto,M6H 0C7
10,Car Dealership,43.67205,-79.446429,"3526 Lake Shore Blvd W, Toronto ON M8W 1N6",Toronto,M8W 1N6
11,Performing Arts Venue,43.668652,-79.444527,"27 Primrose Ave, Toronto ON M6H 3V1",Toronto,M6H 3V1
12,Dog Park,43.671997,-79.44946,"1200 Lansdowne Ave, Toronto ON M6H 3Z8",Toronto,M6H 3Z8
13,Primary and Secondary School,43.675637,-79.44345,"151 Rosemount Ave (at Dufferin St.), Toronto ON M6H 2N1",Toronto,M6H 2N1
14,Recording Studio,43.668935,-79.44373,"330 Geary Ave (at Lightbourn Ave.), Toronto ON M6H 2C7",Toronto,M6H 2C7
15,Convenience Store,43.672605,-79.441139,"1395 Davenport Rd (Dufferin), Toronto ON M6H 2H6",Toronto,M6H 2H6
16,Café,43.673012,-79.440175,"1359 Davenport Rd, Toronto ON M6H 2H5",Toronto,M6H 2H5
17,Bar,43.669324,-79.439163,"229 Geary Ave (at Dufferin St), Toronto ON M6H 2C1",Toronto,M6H 2C1
18,Bicycle Store,43.666157,-79.317863,"1592 Queen St E, Toronto ON M4L 1G1",Toronto,M4L 1G1
19,Pizzeria,43.666623,-79.316861,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Toronto,M4L 3A7
20,Diner,43.666394,-79.316918,"1606 Queen St E (Coxwell Ave), Toronto ON M4L 1G2",Toronto,M4L 1G2
21,Burger Joint,43.666774,-79.315529,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",Toronto,M4L 1G3
22,Burrito Restaurant,43.666486,-79.316418,"1614 Queen St E (Coxwell Ave.), Toronto ON M4L 1G3",Toronto,M4L 1G3
23,Park,43.662892,-79.312532,"Queen St (at Kingston Rd), Toronto ON M4L 1G7",Toronto,M4L 1G7
24,Pizzeria,43.666794,-79.315251,"1646 Queen St E (at Eastern Ave,), Toronto ON M4L 1G3",Toronto,M4L 1G3
25,Deli,43.666113,-79.316921,"1599 Queen St E, Toronto ON M4L 1E5",Toronto,M4L 1E5
26,Flower Store,43.666243,-79.317456,"1596 Queen St W, Toronto ON M6R 1A8",Toronto,M6R 1A8
27,Church,43.653996,-79.376673,"56 Queen St E, Toronto ON M5C 2Z3",Toronto,M5C 2Z3
28,Music Venue,43.653136,-79.379248,"189 Yonge St (btwn Queen St E & Shuter St), Toronto ON M5B 1M4",Toronto,M5B 1M4
29,Diner,43.65266,-79.378845,"2 Queen St E (Suite #110), Toronto ON M5C 3G7",Toronto,M5C 3G7
30,Dining and Drinking,43.653229,-79.374868,"99 Queen St E, Toronto ON M5C 1S1",Toronto,M5C 1S1
31,Dining and Drinking,43.653321,-79.374369,"111C Queen St E (Church), Toronto ON M5C 1S2",Toronto,M5C 1S2
32,Church,43.654962,-79.377294,"200 Church St (at Shuter St), Toronto ON M5B 1Z2",Toronto,M5B 1Z2
33,Japanese Restaurant,43.651596,-79.374936,"81 Church St (at Adelaide St E), Toronto ON M5C 2G2",Toronto,M5C 2G2
34,Furniture and Home Store,43.653188,-79.379303,"195 Yonge St (at Queen St E), Toronto ON M5B 1M4",Toronto,M5B 1M4
35,American Restaurant,43.65151,-79.379223,"1 Richmond St W (Yonge Street), Toronto ON M5H 3W4",Toronto,M5H 3W4
36,Gay Bar,43.664198,-79.379979,"457 Church St (Alexander), Toronto ON M4Y 2C5",Toronto,M4Y 2C5
37,Sushi Restaurant,43.663917,-79.379982,"451 Church St, Toronto ON M4Y 2C5",Toronto,M4Y 2C5
38,Juice Bar,43.664459,-79.380255,"471 Church St (btwn Alexander & Maitland St.), Toronto ON M4Y 2C5",Toronto,M4Y 2C5
39,Pizzeria,43.664407,-79.3802,"469 Church St (at Wellesley St.), Toronto ON M4Y 2C5",Toronto,M4Y 2C5
40,Sake Bar,43.664243,-79.380127,"459 Church St (Maitland), Toronto ON M4Y 2C5",Toronto,M4Y 2C5
41,Pub,43.66457,-79.380272,"475 Church St (at Maitland St.), Toronto ON M4Y 2C5",Toronto,M4Y 2C5
42,Gay Bar,43.66299,-79.3796,"425 Church St (at Wood St.), Toronto ON M4Y 2C3",Toronto,M4Y 2C3
43,Coffee Shop,43.665059,-79.380491,"485 Church St (at Maitland St.), Toronto ON M4Y 2C6",Toronto,M4Y 2C6
44,Grocery Store,43.661978,-79.379626,"60 Carlton St, Toronto ON M5B 1J2",Toronto,M5B 1J2
45,Café,43.658525,-79.385436,"84 Gerrard St W (Gerrard & LaPlante), Toronto ON M5G 1J5",Toronto,M5G 1J5
46,Italian Restaurant,43.659865,-79.388642,"101 College St, Toronto ON M5G 1L7",Toronto,M5G 1L7
47,"Cafe, Coffee, and Tea House",43.658539,-79.385251,"70 Gerrard St W (Bay St), Toronto ON M5G 1J5",Toronto,M5G 1J5
48,Fast Food Restaurant,43.654736,-79.389695,"250 Dundas St W (Simcoe Street), Toronto ON M5T 2Z5",Toronto,M5T 2Z5
49,Café,43.654316,-79.390843,"281 Dundas St W (St Patrick And Dundas St W), Toronto ON M5T 1G1",Toronto,M5T 1G1
50,Coffee Shop,43.660059,-79.385961,"770 Bay St, Toronto ON M5G 0A6",Toronto,M5G 0A6
51,Fast Food Restaurant,43.654727,-79.387496,"207 Dundas St W (at University Ave), Toronto ON M5G 1C8",Toronto,M5G 1C8
52,Ramen Restaurant,43.65503,-79.386422,"179 Dundas St W (btwn Centre Ave. & Chestnut St.), Toronto ON M5G 1C7",Toronto,M5G 1C7
53,Sushi Restaurant,43.655117,-79.38522,"122 Elizabeth St (at Dundas St. W), Toronto ON M5G 1P5",Toronto,M5G 1P5
54,Restaurant,43.656191,-79.383568,"20 Dundas St E (at Bay St), Toronto ON M5B 2L6",Toronto,M5B 2L6
55,Miscellaneous Store,43.656087,-79.383458,"595 Bay St (at Dundas St W), Toronto ON M5G 2C2",Toronto,M5G 2C2
56,Bar,43.65738,-79.38343,"35 Elm St (at Bay St.), Toronto ON M5G 1H1",Toronto,M5G 1H1
57,Bookstore,43.657051,-79.380993,"329 Yonge St (at Dundas St E), Toronto ON M5B 1R7",Toronto,M5B 1R7
58,Chinese Restaurant,43.656628,-79.383731,"66 Edward St (Bay Street), Toronto ON M5G 1C9",Toronto,M5G 1C9
