,free_bikes,postCode,rating,category,price,street,price_c,category_c,street_c,postCode_c
32,29,M5V4A6,3.5,FastFood,Moderately, Fort York Blvd,2,7,16,27
38,29,M5V4A6,4.5,Cafe,Moderately, Fort York Boulevard,2,4,17,27
43,29,M5V4A6,3.5,FastFood,Moderately, Fort York Blvd,2,7,16,27
49,29,M5V4A6,4.5,Cafe,Moderately, Fort York Boulevard,2,4,17,27
54,29,M5V4A6,3.5,FastFood,Moderately, Fort York Blvd,2,7,16,27
60,29,M5V4A6,4.5,Cafe,Moderately, Fort York Boulevard,2,4,17,27
65,29,M5V4A6,3.5,FastFood,Moderately, Fort York Blvd,2,7,16,27
71,29,M5V4A6,4.5,Cafe,Moderately, Fort York Boulevard,2,4,17,27
252,2,M5S1W7,4.0,Fancy,Expensive, Bloor Street W,0,6,4,23
280,2,M5S1W7,4.0,Fancy,Expensive, Bloor Street W,0,6,4,23
308,2,M5S1W7,4.0,Fancy,Expensive, Bloor Street W,0,6,4,23
644,4,M5S1W7,4.0,Fancy,Expensive, Bloor Street W,0,6,4,23
672,4,M5S1W7,4.0,Fancy,Expensive, Bloor Street W,0,6,4,23
700,4,M5S1W7,4.0,Fancy,Expensive, Bloor Street W,0,6,4,23
1036,0,M5B2A2,4.0,Asian,Moderately, Church Street,2,2,6,19
1037,0,M5B2A2,4.0,Asian,Moderately, Church Street,2,2,6,19
1102,0,M5B2A2,4.0,Asian,Moderately, Church Street,2,2,6,19
1103,0,M5B2A2,4.0,Asian,Moderately, Church Street,2,2,6,19
1572,4,M6H1N7,4.5,Europe,Moderately, Bloor Street W,2,5,4,31
1575,4,M6H1N7,4.0,MiddleEast,Inexpensive, Bloor St W,1,8,3,31
1595,4,M6H1N7,4.5,Europe,Moderately, Bloor Street W,2,5,4,31
1598,4,M6H1N7,4.0,MiddleEast,Inexpensive, Bloor St W,1,8,3,31
1618,4,M6H1N7,4.5,Europe,Moderately, Bloor Street W,2,5,4,31
1621,4,M6H1N7,4.0,MiddleEast,Inexpensive, Bloor St W,1,8,3,31
1710,3,M6H1N7,4.5,Europe,Moderately, Bloor Street W,2,5,4,31
1713,3,M6H1N7,4.0,MiddleEast,Inexpensive, Bloor St W,1,8,3,31
1733,3,M6H1N7,4.5,Europe,Moderately, Bloor Street W,2,5,4,31
1736,3,M6H1N7,4.0,MiddleEast,Inexpensive, Bloor St W,1,8,3,31
1756,3,M6H1N7,4.5,Europe,Moderately, Bloor Street W,2,5,4,31
1759,3,M6H1N7,4.0,MiddleEast,Inexpensive, Bloor St W,1,8,3,31
1862,4,M5V1E3,4.0,Europe,Expensive, Wellington Street W,0,5,34,26
1863,4,M5V1E3,4.5,American,Moderately,A Wellington Street W,2,1,37,26
1901,4,M5V1E3,4.0,Europe,Expensive, Wellington Street W,0,5,34,26
1902,4,M5V1E3,4.5,American,Moderately,A Wellington Street W,2,1,37,26
1940,4,M5V1E3,4.0,Europe,Expensive, Wellington Street W,0,5,34,26
1941,4,M5V1E3,4.5,American,Moderately,A Wellington Street W,2,1,37,26
2252,4,M5V1E3,4.0,Europe,Expensive, Wellington Street W,0,5,34,26
2253,4,M5V1E3,4.5,American,Moderately,A Wellington Street W,2,1,37,26
2393,21,M6J1H9,4.0,FastFood,Expensive, Queen Street W,0,7,26,33
2394,21,M6J1H9,4.0,FastFood,Moderately, Queen Street W,2,7,26,33
2408,21,M6J1H9,4.0,FastFood,Expensive, Queen Street W,0,7,26,33
2409,21,M6J1H9,4.0,FastFood,Moderately, Queen Street W,2,7,26,33
2423,21,M6J1H9,4.0,FastFood,Expensive, Queen Street W,0,7,26,33
2424,21,M6J1H9,4.0,FastFood,Moderately, Queen Street W,2,7,26,33
2438,21,M6J1H9,4.0,FastFood,Expensive, Queen Street W,0,7,26,33
2439,21,M6J1H9,4.0,FastFood,Moderately, Queen Street W,2,7,26,33
2468,9,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
2469,9,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
2470,9,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
2471,9,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
2472,9,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
2473,9,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
2474,9,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
2475,9,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
2476,9,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
2477,9,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
2478,9,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
2508,9,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
2605,9,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
2606,9,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
2607,9,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
2608,9,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
2609,9,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
2610,9,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
2611,9,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
2612,9,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
2613,9,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
2614,9,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
2615,9,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
2645,9,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
2742,9,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
2743,9,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
2744,9,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
2745,9,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
