,POI,rating,category1,category2,latitude,longitude,price,city,street,postCode
0,The Burger's Priest,3.5,burgers,Burgers,43.666699590075,-79.3155846030585,$$,Toronto,1636 Queen Street E,M4L 1G3
1,Lake Inez,4.5,bars,Bars,43.67234,-79.32064,$$$,Toronto,1471 Gerrard Street E,M4L 2A1
2,Maha's,4.0,egyptian,Egyptian,43.67167,-79.32853,$$,Toronto,226 Greenwood Avenue,M4L 2R2
3,O Sushi,4.0,sushi,Sushi Bars,43.66654,-79.31693,$$,Toronto,6 Coxwell Avenue,M4L 3A7
4,Burrito Bandidos,3.5,mexican,Mexican,43.6665611,-79.3164215,$$,Toronto,1614 Queen Street E,M4L 1G4
5,McDonald's,2.5,hotdogs,Fast Food,43.6650808,-79.3192955,$,Toronto,29-31 Woodward Avenue,M4L 2Y5
6,The Sidekick,4.5,cafes,Cafes,43.6645889,-79.3251114,$,Toronto,1374 Queen Street E,M4L 1C9
7,Lahore Tikka House,3.5,halal,Halal,43.67148,-79.32451,$$,Toronto,1365 Gerrard Street E,M4L 1Z3
8,Casa Di Giorgios,4.0,italian,Italian,43.6668499,-79.31518,$$,Toronto,1646 Queen St E,M4L 1G3
9,Yaya Greek Bistro,4.0,breakfast_brunch,Breakfast & Brunch,43.6630783791201,-79.33178893082199,$$,Toronto,1186 Queen Street E,M4M 1L4
10,Tea N Bannock,4.5,tradamerican,American (Traditional),43.671182,-79.3273557,$$,Toronto,1294 Gerrard Street E,M4L 1Y7
11,Eulalie's Corner Store,4.5,pubs,Pubs,43.6725388,-79.3217316,$$,Toronto,1438 Gerrard Street E,M4L 1Z8
12,Chick-N-Joy,4.0,hotdogs,Fast Food,43.66509,-79.32132,$,Toronto,1483 Queen Street E,M4L 1E2
13,Leslie Jones,4.0,comfortfood,Comfort Food,43.6628904,-79.3318366,$$,Toronto,1182 Queen Street E,M4M 1L4
14,Lazy Daisy's Cafe,4.0,cafes,Cafes,43.6726699,-79.3194,$$,Toronto,1515 Gerrard Street E,M4L 2A5
15,Regency Restaurant,4.0,indpak,Indian,43.67201,-79.32238,$$,Toronto,1423 Gerrard Street E,M4L 1Z7
16,Sweet Bliss Baking Company,4.5,bakeries,Bakeries,43.66388,-79.32814,$,Toronto,1304 Queen Street E,M4L 1C4
17,Agio,4.5,italian,Italian,43.67599,-79.45066,$$,Toronto,1351 St Clair Avenue W,M6E 1C5
18,Love Chix,4.0,chickenshop,Chicken Shop,43.6696641,-79.4486514,$$,Toronto,33 Powerhouse Street,M6H 4K7
19,Rush Hour,4.5,portuguese,Portuguese,43.67111,-79.44037,$$,Toronto,1438A Dufferin Street,M6H 3L1
20,CANO Restaurant,4.5,italian,Italian,43.67871,-79.44058,$$,Toronto,1108 St Clair Avenue W,M6E 1A7
21,Barista & Chef,4.5,mediterranean,Mediterranean,43.6794533,-79.4374528,$$,Toronto,1006 Saint Clair Avenue W,M6E 1A2
22,Tre Mari Bakery,4.5,bakeries,Bakeries,43.6765,-79.44868,$,Toronto,1311 Saint Clair Avenue W,M6E 1C2
23,Tuckshop Kitchen,4.5,sandwiches,Sandwiches,43.66499,-79.45568,$,Toronto,1640 Dupont Street,M6P 3T2
24,Pizza e Pazzi,4.0,pizza,Pizza,43.678,-79.44385892512817,$$,Toronto,1182 St Clair Avenue W,M6E 1B4
25,Rio 40 Restaurant,4.0,brazilian,Brazilian,43.677457,-79.446485,$$,Toronto,1256 Saint Clair Avenue West,M6E 1B9
26,Famiglia Baldassarre,4.5,italian,Italian,43.67052,-79.4350599,$$,Toronto,122 Geary Avenue,M6H 4H1
27,The Sovereign,4.5,cafes,Cafes,43.67299,-79.44002,$$,Toronto,1359 Davenport Road,M6H 2H5
